"[ 제가 구매한 제품입니다..봄가을겨울 용 내의 .배냇저고리.천기저귀 장.가제손수건 매 묶음 ], 긍정 텍스트 확률 : 55.15%"
"[ 베베원밤부 천기저귀 장], 긍정 텍스트 확률 : 52.23%"
"[ 베베원거즈천기저귀 장원거즈를 보통 많이 쓰는거 같아서 하나 사봤어요.지금보니 대나무보다는 확실히 거칠어 보이네요.봄], 긍정 텍스트 확률 : 82.70%"
"[ 원이 손수건은 대각선으로 접었을때 양면이 다른 패턴이예요.목에 둘러줬을때 의류에 맞춰 색상이나 패턴 초이스하시면좋을거같아요.한 세트에 하늘색개 네이비개있고총 가지 버전으로사용가능해요. ], 긍정 텍스트 확률 : 54.21%"
"[ 원올해 황금돼지띠이기때문에 하나샀어요. 보드랍고 가벼워서 좋아요.파주 베이비플러스 솔직 구매후기였습니다 ], 긍정 텍스트 확률 : 67.98%"
"[안녕하세요 지니입니다 드디어 베키 서포터즈로써 마지막 포스팅이네요. 시간이 참 빠르죠?ㅋㅋ 어제 대구 최대의 베이비키즈박람회 대구 베키가 개막을 했습니다짝짝짝짝짝 저도 어제 개막하자마자 다녀왔는데요], 긍정 텍스트 확률 : 75.52%"
"[ 생생한대구베이비키즈페어 현장 을 소개해드릴께요.?대구베이비키즈박람회대구베이비키즈박람회.?대구베키대구베키.?대구베키참가업체대구베키참가업체.?대구베키금액대구베키금액.?대구오르빗금액대구오르빗금액.?오르빗금액오르빗금액.?베이비키즈박람회베이비키즈박람회.?베키베키], 긍정 텍스트 확률 : 58.98%"
"[ 대구 엑스코 층 전시회장에서 열립니다. 주차장이 넓기는 하지만사람이 워낙 많이 몰리는 박람회다보니 일찍 가시는거 추천드려요ㅎㅎ], 긍정 텍스트 확률 : 92.55%"
"[ 베키 리플릿도 꼭 챙기세요ㅋㅋ 생각보다 너무 넓어서 리플릿에 있는 지도가 꼭 필요해요 저는 이렇게 넓은지 몰랐습니다.], 긍정 텍스트 확률 : 95.59%"
"[ 베크 부스배치도입니다. 진짜 넓죠?ㅋㅋ 그만큼 참여업체가 많다는 뜻 저는 오전시에 들어가서 오후 시에 나왔어요...], 긍정 텍스트 확률 : 60.83%"
"[ 베키 카톡플친 이벤트도 있고], 긍정 텍스트 확률 : 70.79%"
"[의무실과 미아보호소도 있네요ㅋㅋ 큰 행사인만큼 준비가 철저하시더라구요.], 긍정 텍스트 확률 : 73.61%"
"[택배서비스도 하고 있어요. 택배서비스가 진짜 좋은것같아요ㅋㅋ 저도 샀는데 너무 부피가 큰거는 택배로 부탁했어요. 혼자 들고오기 넘나 무거운것....], 긍정 텍스트 확률 : 81.73%"
"[여유가 되시는분은 도전해보시길ㅋㅋ], 긍정 텍스트 확률 : 65.96%"
"[ 팔찌 혹은 목걸이를 차고 총총 입장하는 곳으로 줄이 엄청 긴곳이 있는데 거기는 입장줄이 아닌 이벤트 줄일수도 있음을 유의하시고], 긍정 텍스트 확률 : 69.33%"
"[ 생각보다 너무 큰거 있죠? 사람들도 많아서 사진을 많이 못찍겠더라구요 어마어마한 인파와 어마어마한 업체들ㅋㅋ 왜 다들 월 베페를 기다리는지 이해할 수 있었어요ㅋㅋ], 긍정 텍스트 확률 : 67.91%"
"[ 제가 봐야할 브랜드들입니다.ㅋㅋ 저는 사전에 있는지 확인하고 구역을 알고갔어요 이날의 베페 목적은 단 하나 오르빗 동생이 사준다고 하니], 긍정 텍스트 확률 : 89.52%"
"[ 가장 먼저 방문한 곳은 오르빗을 판매하는브라이택스 입니다. 시에 도착하자마자 발바닥에 땀나도록 찾아간 오르빗 부스ㅋㅋ 벌써 사람들이 꽤나 몰려있더라구요], 긍정 텍스트 확률 : 89.04%"
"[문의가 많았는지 금액을 낮추셨고], 긍정 텍스트 확률 : 52.55%"
"[ 제가 구매를 희망하는 오르빗 올블랙입니다. 멜란지가 한정모델이라는데.. 저는 검은색이 더 마음에 들어서 블랙으로 초이스ㅋㅋ 선셰이도도 하나 더하려고 했는데 솔직하게 더 필요없다고 조언해주시더라구요ㅋㅋ], 긍정 텍스트 확률 : 87.59%"
"[ 기본 증정되는 사계절커버와 모기장], 긍정 텍스트 확률 : 61.85%"
"[그리고 블랭킷과 간식트레이 입니다.], 긍정 텍스트 확률 : 84.87%"
"[오르빗 사장님도 이거 가져가는게 훨 이득이라고 하셔서 선착순 명이라는 말에 홀리듯이 구매했어요ㅋㅋ 지금와서 생각해보면 굿초이스 명만 요미하이체어고 나머지는 선착순으로 에르고 워머라고 하셨는데], 긍정 텍스트 확률 : 87.85%"
"[이런 깜짝이벤트 덕에 베페가는것 같아요♥ ], 긍정 텍스트 확률 : 99.45%"
"[ 처음에는 동생이 무이자하라고 해서 여쭤보니 삼성은 개월], 긍정 텍스트 확률 : 55.77%"
"[현대는 개월까지 근데 급 동생이 현금하라고 해서 현금 이체하고 현금영수증까지 발급받았습니다ㅋㅋ], 긍정 텍스트 확률 : 53.00%"
"[ 물품 구입서ㅎㅎ 꼼꼼하게 적어주셨어요 오르빗 ], 긍정 텍스트 확률 : 81.92%"
"[여기서는 접어볼수있어서 그런지 벌써 손잡이부분이 더럽더라구요ㅠㅠ... 그래서 전시상품은 패스했습니다. 사랑하는 나의 동생이 저에게 첫 선물을 해줬어요. 그것도 조카를 위한 유모차를 고맙당♥ ], 긍정 텍스트 확률 : 99.93%"
"[ 태아보험 후기는 따로 있어요 다른 베페에서 넣었는데 대구 베페는 다오신다고 하시더니 진짜였어욤ㅋㅋ], 긍정 텍스트 확률 : 62.98%"
"[ 구경을 하는 중 이벤트로 신청한 임산부골든벨참여하러ㅋㅋ 팔찌가 있으니 나갔다 들어왔다가 가능해서 좋아요ㅋㅋ], 긍정 텍스트 확률 : 72.68%"
"[저 집도 주시고 또 책꽂이도 주신다고 하셨어요ㅋㅋ 제가 살게 아니라서 자세히 알아보지는 않았습니다.ㅋㅋ 도레미곰 ], 긍정 텍스트 확률 : 73.61%"
"[ 마더케이 또한 인터넷 면세랑 비교를 위해서 갔어요 마더케이가 아닌 제품도 있는거는 여러 브랜드가 섞여있더라구요ㅋㅋ 저는 수유패트], 긍정 텍스트 확률 : 67.99%"
"[젖병솔을 인터넷면세에서 구매했는데 마더케이 또한 인터넷면세가 훨씬 저렴합니다그래도 외국가실일 없으시면 베페 저렴하기는 한듯해요ㅋㅋ 꼬까신], 긍정 텍스트 확률 : 79.63%"
"[ 손수건은 베베원에서 구매했는데 장에 원이였어요 카톡플친 하면 벨큐브 통에다가 손수건 구매했다고 벨큐브 통 더주셔서 원에 손수건 장과 벨큐브 통을 받았습니다.], 긍정 텍스트 확률 : 59.58%"
"[ 다 끝나고 집에 가는길.. 저기서 구매한거는 손수건], 긍정 텍스트 확률 : 56.06%"
"[ 제가 베페에서 받은 물건들이에요ㅋㅋ 베페에서 코호트를 신청해서 선물받고], 긍정 텍스트 확률 : 61.15%"
"[ 다녀오자마자 자연이 방에 차곡차곡 정리했는데 보기만해도 뿌듯...ㅋㅋ], 긍정 텍스트 확률 : 62.59%"
"[ 주말에도 가서 쿠첸 분유포트], 긍정 텍스트 확률 : 65.60%"
"[젖병소독기랑 밤부베베 손수건], 긍정 텍스트 확률 : 51.44%"
"[내복을 더 구매할예정이에요ㅋㅋ 너무 커서 볼거리도 많고], 긍정 텍스트 확률 : 97.01%"
"[저렴해서 살것도 많은 베페 꼭 시간적 여유두고 가세요ㅋㅋ 저는 목요일과 주말 번 다녀올듯하네요ㅋㅋ], 긍정 텍스트 확률 : 94.97%"
"[ 앞서 포스팅에 대구베키 다녀온 이야기를 했었어요.아침일찍 밥도 안먹고 짐챙겨서 나온 열정맘이랍니다ㅋㅋㅋ ], 긍정 텍스트 확률 : 61.63%"
"[ 배송료 포함 생각하면 꽤나 괜찮은 가격에 제품을 만나볼 수 있어서 너무 좋답니다. ], 긍정 텍스트 확률 : 97.88%"
"[ 특히나 교육부분도 정말 크게 잘 되어있어서 좋아요. 초큼 부담스러운게 함정입니다만...교육부분 때문에 앞으로 아이가 커도 많이 방문 할 거 같아요거의 베페 마니아 수준으로 다니고 있습니다만... ], 긍정 텍스트 확률 : 99.52%"
"[ 이번에 미술놀이 업체에서는 직접 놀 수 있도록 체험전도 하더라고요ㅎㅎ 친구애기들끼리 오면 풀어놓고 엄마들은 구경다니면 너무 좋을거 같아요♡ ], 긍정 텍스트 확률 : 98.66%"
"[아이스크림 판매했는데주전부리가 적어 조금 아쉽긴했어요. ], 긍정 텍스트 확률 : 84.64%"
"[ 남편과 함께 사먹은바닐라라떼와 아이스초코 예요.이 커피한잔이 얼마나 마른 땅에 단비 같은 존재였는지 몰라요], 긍정 텍스트 확률 : 91.28%"
"[ 딸래미 웨건에서 낮잠 잘동안 엄마 아빠는 달달한 음료를 편하게 마셨답니다 ], 긍정 텍스트 확률 : 81.20%"
"[ 먼저 위에 선물이 뭐냐하면선착순 선물 이예요.대박이쥬젖병은 사실... 아이가 커서 필요없어서 드림해야겠어요ㅜㅜ신생아 젖병], 긍정 텍스트 확률 : 86.55%"
"[킨더퍼페츠 베이비크림 본품], 긍정 텍스트 확률 : 63.39%"
"[군기저귀 샘플앨리스 생리대 샘플 이게 선착순 선물이라니 ㅠㅠ 정말 안갈 수 었없답니다이거 때문에 아침 일찍 나선거죠], 긍정 텍스트 확률 : 88.32%"
