"[팝콘만두만 나오더라구요?이건 오해의 소지가 있겠더라구요배달의 민족 어플에는 세트에 튀김이 뭐뭐 들어가는지는표시되어 있는데 매장은 표시가 없더라구요 ], 부정 텍스트 확률 : 82.80%"
"[ 단무지랑 피클은 잘 안먹어서 조금만 가져왔어요 ㅎㅎ시어머니가 드시니까 조금만 가져왔어요눈치안보고 자기가 가져다 먹어서 편해요 ], 부정 텍스트 확률 : 62.83%"
"[ ㅋㅋ 튀김먼저 아이들을 줬더니 오뎅], 부정 텍스트 확률 : 56.46%"
"[ 금왕 떡볶이맛집 조코만 삼겹떡볶이가 드디어가운데 삼겹살이 보이고 그옆으로는 깻잎이 가득냄새부터가 합격이였어요 ], 부정 텍스트 확률 : 73.18%"
"[단무지], 부정 텍스트 확률 : 53.29%"
"[비엔나], 부정 텍스트 확률 : 53.29%"
"[삼겹살이 들어있어요맵기도 단계로 조절이 가능해요저는 안매운맛선우도 잘먹더라구요 ㅎㅎ ], 부정 텍스트 확률 : 70.35%"
"[ 추가로 오뎅튀김이랑 오징어튀김도 주문해서떡볶이 국물에 찍어서 먹었는데역시 짱맛금왕 떡볶이맛집 조코만 삼겹 떡볶이 강추해요매주 화요일 휴무오전 오후 시까지 ], 부정 텍스트 확률 : 97.77%"
"[ 원 ▷ 할인판매가격 ], 부정 텍스트 확률 : 53.29%"
"[ 개 상품평 보기는⬇아래 링크로 확인해주세요⬇▼▼▼ ..?..?기내용유모차 ], 부정 텍스트 확률 : 74.89%"
"[ 필수 표기정보 ], 부정 텍스트 확률 : 53.29%"
"[품명 및 모델명], 부정 텍스트 확률 : 53.29%"
"[ 인증 필 유무], 부정 텍스트 확률 : 53.29%"
"[.컨텐츠 참조], 부정 텍스트 확률 : 62.92%"
"[.컨텐츠참조], 부정 텍스트 확률 : 62.92%"
"[.블랙], 부정 텍스트 확률 : 62.92%"
"[.컨텐츠 참조], 부정 텍스트 확률 : 62.92%"
"[사용연령 또는 체중범위], 부정 텍스트 확률 : 53.29%"
"[.세이상], 부정 텍스트 확률 : 65.65%"
"[동일모델의 출시년월], 부정 텍스트 확률 : 65.67%"
"[.년 월], 부정 텍스트 확률 : 79.37%"
"[제조자수입자], 부정 텍스트 확률 : 61.97%"
"[.㈜에이케이], 부정 텍스트 확률 : 62.92%"
"[제조국], 부정 텍스트 확률 : 61.97%"
"[.중국], 부정 텍스트 확률 : 85.73%"
"[취급방법 및 취급시 주의사항], 부정 텍스트 확률 : 53.29%"
"[안전표시], 부정 텍스트 확률 : 53.29%"
"[.①유모차 사용설명서 혹은 홈페이지 상세페이지를 숙지하시고 사용하시기 바랍니다 ②아이를 유모차에 태운 후에는 반드시 안전 벨트를 착용시켜 주시기 바랍니다 ③안전벨트를 채울 때는 아이가 빠져나오지 못하도록 아이 몸에 잘 맞도록 조이십시오 ④정차시에는 반드시 브레이크를 잠가주시기 바랍니다 ⑤유모차를 사용할 때에는 완전히 펴졌는지 확인하여 주시기 바랍니다 ⑥유모차에 아이를 태운 채 혼자 있도록 내버려 두지 마십시오 ⑦유모차의 운행은 보호자의 보행속도 이내로 유지하고 신호가 바뀌려는 횡단보도는 물론 평지에서도 절대 뛰지 마십시오 ⑧유모차의 작동이나 접고 펼칠때], 부정 텍스트 확률 : 98.64%"
"[ 등받이각도조절], 부정 텍스트 확률 : 78.53%"
"[ 핸들전환], 부정 텍스트 확률 : 53.29%"
"[ 캐노피등을 작동할 때는 틈새로 아이의 손가락], 부정 텍스트 확률 : 74.24%"
"[품질보증기준], 부정 텍스트 확률 : 53.29%"
"[.제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.], 부정 텍스트 확률 : 72.71%"
"[.쿠팡 고객센터 ], 부정 텍스트 확률 : 62.92%"
"[ .?조코조코.?콜렉션콜렉션.?컴팩트컴팩트.?기내반입기내반입.?유모차유모차.? 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 부정 텍스트 확률 : 82.41%"
