"[그리고 크래프톤과 펍지의부스 위치 및 프로그램을 안내하는 가이드맵을 배포할 예정이다. 뒷면에서는 펍지의 새로운 아티스트 콜라보 작품을 확인할 수 있다...보다 상세한 정보는 크래프톤 페이스북에서생생 정보를 확인할 수 있다. ], 긍정 텍스트 확률 : 95.82%"
"[ 년전인가 작업했었던 가 며칠전 국내 서비스를 시작했음..ㅎㅎ.. ], 긍정 텍스트 확률 : 75.41%"
"[설립한지 년 이하의 스타트업을 뜻한다. 원래는 스타트업이 상장하기도 전에 기업 가치가 조 원 이상 되는 것이 유니콘처럼 상상 속에서나 존재할 수 있다는 의미로 사용됐다. 우버], 긍정 텍스트 확률 : 53.96%"
"[핀터레스트 등 해외 유니콘 기업. 우리나라는 어떤 기업이 있는지 확인해 보자 ], 긍정 텍스트 확률 : 71.27%"
"[일본개팀이 참가한다. 펍지주식회사는펍지 글로벌 인비테이셔널 ], 긍정 텍스트 확률 : 52.07%"
"[이하에서 처음 선보인 팀 전용 옵저빙 피드 시스템을 이번마카오 에 출전하는 한국 팀에 적용한다. 한국 팀을 응원하는 팬들은 한국 팀 전용 피드를 시청하거나 자신이 응원하는 팀을 선택해 중계에 더욱 몰입할 수 있다. 한국팀 중계진으로는 박상현 캐스터], 긍정 텍스트 확률 : 72.85%"
"[김지수 해설이 나서 현장 분위기를 생생하게 전달할 예정이다. 펍지주식회사는 한국에서마카오 에 출전한 한국 대표팀을 응원하는 팬들에게 보다 다양한 즐거움을 선사하고자마카오한정 인게임 재킷 및 마스크를 증정하는 특별 이벤트도 함께 진행한다. 배틀그라운드 공식 커뮤니티공식 카페], 긍정 텍스트 확률 : 50.46%"
"[페이스북에서도 대회 기간 동일 아이템을 지급하는 이벤트를 펼칠 예정이다. 아프리카], 긍정 텍스트 확률 : 62.24%"
"[네이버에서는 시청자 참여형 승부 예측과 응원 댓글 이벤트가 진행되고 아프리카 공식 를 통한 시청 인증 및 한국 대표팀 응원하기 이벤트도 함께 실시한다. 펍지주식회사 김창한 대표는 “ 마카오 를 통해 국내외 리그에서 얻은 이스포츠로서의 가능성에 대한 확신과 노하우를 바탕으로 전 세계 선수와 팬들에게 배틀그라운드 이스포츠만의 즐거움을 선사할 준비가 되어 있다”며 “그동안 열심히 준비한 선수들 또한 멋진 플레이와 성적을 보여주기를 기대한다”고 말했다.마카오 는 매일 오후 시한국 시간 트위치], 긍정 텍스트 확률 : 59.46%"
"[카카오를 통해 시청 가능하다.마카오관련 상세 정보는마카오공식 홈페이지에서 확인할 수 있다. 펍지주식회사 개요 펍지주식회사는 크래프톤], 긍정 텍스트 확률 : 75.91%"
"[모바일 플랫폼으로 게임 서비스를 제공하고 있다. 배틀그라운드는 출시 이후 가장 빠르게 억달러 수익을 올린 스팀 얼리액세스 게임’을 비롯한 기네스북 개 세계 기록에 등재됐으며], 긍정 텍스트 확률 : 80.20%"
"[국내외 다수의 게임 어워드를 수상하며 배틀로얄 장르의 세계 선두주자로 자리매김했다. 펍지주식회사는 현재 한국 본사를 중심으로 북미], 긍정 텍스트 확률 : 86.19%"
"[중국 등 전 세계 개 지사를 설립해 운영 중이며 배틀그라운드를 글로벌 인기 지식재산권으로 확장한다는 목표 아래 이스포츠를 포함한 다양한 신규 사업을 추진하고 있다. 펍지주식회사에 대한 더 자세한 정보는 홈페이지에서 확인할 수 있다.마카오공식 홈페이지 .... 마카오관전 유튜브 홈페이지 .... 마카오관전 네이버 홈페이지 ........ 마카오관전 트위치 홈페이지 .... ], 긍정 텍스트 확률 : 73.84%"
"[.지스타 마지막날.초대권 두 장이 남아서 풍월량 팬분들한테 나눔해드렸다.한 분은 쥐포튀김 주시고 한 분은 뜨아 두 잔 주셔서 너무너무넘 감동 😭💗. ], 긍정 텍스트 확률 : 95.23%"
"[ .스티커 잔뜩 받았다.흑정령 귀여워. ], 긍정 텍스트 확률 : 67.03%"
"[ .그리고 에픽 게임즈...너무 멋짐 😭. ], 긍정 텍스트 확률 : 94.30%"
"[캐릭터 애니메이션 실시간 모델링], 긍정 텍스트 확률 : 68.57%"
"[이펙트 제작 너무너무 흥미로웠고....저걸 다 돌리려면 얼마나 좋은 컴퓨터 사양이 필요할까? 싶어서 입이 떡 벌어졌다.내가 모르는 어마어마한 멋진 세계를 자유자재로 다루고 계시는 종사자분들을 생각하니 기가 잔뜩 눌리고 내가 개좆밥 같아서 현타도 왔다..그리고 언젠가 꼭 유니티든 언리얼이든 사용해서 게임을 제작해보고 싶다는 마음이 또 한 번 불탔다 😳💘. ], 긍정 텍스트 확률 : 99.72%"
"[ .그리고 라푼젤에서 하늘에 등불을 날리는 씬.그 아름다운 씬이 언리얼 엔진을 통해서 제작했다는 걸 멍때리며 저 큰 화면 보다 알게 돼서 깜짝 놀랐다...에픽게임즈 부스 입장조건이. 에픽게임즈 회원. 현업 종사자. 전공 학생.뿐인 것도], 긍정 텍스트 확률 : 99.85%"
"[ .많은 생각이 들게 한 부스였다 나도 열심히 공부해야지 두근두근. ], 긍정 텍스트 확률 : 82.31%"
"[ .그리고 세상에서 제일 예쁜 언니.안경누나🤓🤓🤓수현언니🥰🥰🥰🥰🥰🥰🥰.진짜 진짜 진짜너무너무 완벽한 얼굴이야.. 넘예뻐.. 세상에서 제일예뻐 진짜넘예뻐.수현님 온대서 목요일도 수업째고 언니보러가고 일요일도 왔다. ], 긍정 텍스트 확률 : 100.00%"
"[ .몬스터 마시며 과제할 생각에 행복한 조예린. ], 긍정 텍스트 확률 : 91.34%"
"[ .피카츄가 너무 예뻐서 행복한 조예린. ], 긍정 텍스트 확률 : 99.08%"
"[ .내가 을 받을 수 있게 해준 우리 꼬등어 친구와 함께 . ], 긍정 텍스트 확률 : 98.54%"
"[ .내 사랑 꼬등어 . ], 긍정 텍스트 확률 : 82.57%"
"[ . 부스에서 철권 한 판 조졌고 귀여운 쿠마쨩과 함께 나의 승.쿠마나 팬더로 캐릭하면ㅋㅋㅋㅋ 상대편 캐릭터한테 좀 미안해짐 너무 아파보여서. ], 긍정 텍스트 확률 : 99.87%"
"[ .어제 일 이후로 크래프톤과 사랑에 빠진 나.크래프톤 부스에 핀버튼을 받으려고 섰는데. ], 긍정 텍스트 확률 : 66.22%"
"[ .크래프톤 게임연합 로고가 띄워진 모니터들이 양쪽으로 움직이면서.진짜 눈을 의심하게 만든 미친 퀄리티의 타이포가 나왔다.진심 소리랑 같이 들어야함.....이번 크래프톤 지스타 기획의도이자 목표가 연합임을 알리는 것이라는데.이라는 문구가 너무 멋졌다.회사의 경영철학을 키치하게 담은 타이포... 너무 멋져서 소름 오소소 돋고 눈물 찔끔 나려했다. ], 긍정 텍스트 확률 : 99.38%"
"[ .그리고 펍지에서 찍은 내 사진 히히.촬영해주신 스탭분이 사진장인..눈빛이 살아있어서 넘 쪼아. ], 긍정 텍스트 확률 : 79.85%"
"[ .나오면서도 너무 감동받아서 한 컷.올해 지스타는 펍지와 크래프톤 부스가 가장 돋보였던 것 같다..멘델이랑 나랑 배그를 안 해서 미안해질 정도로 크래프톤에 감동 받았다 라고 계속 이야기함 😭..그리고 정말 디자인 맛집이다 이런 곳에서 나도 일할 수 있다면 정말 매일매일 심장이 뛸 것 같다고 생각했다 그러나 심장은 원래 뛴다.저 우리라는 단어 안에 속하는 기분은 어떨까 🥰. ], 긍정 텍스트 확률 : 99.96%"
"[ .부산글로벌게임센터 서포터즈로 참가해서 더 뜻깊었던 년 지스타], 긍정 텍스트 확률 : 94.16%"
"[ .언리얼 엔진 티셔츠를 예쁘게 개고], 긍정 텍스트 확률 : 71.00%"
"[ .지스타 마지막날 풍월량 방송.멘델이 생방 챙겨보고 있다길래 깜짝 놀람ㅋㅋㅋㅋ... ], 긍정 텍스트 확률 : 76.62%"
"[ .수현님이 팬들 인스타스토리 올리는 거 공유하시길래.올리면 보시는가보다 싶어서 나두 내가 찍은 언니 사진 올렸더니 하트 누르고 공유해가심 흑흑.수현님 사..... 사..... 는동안 만이만이 버세요🥺🥺💗💗💗💗💗💗💗... ], 긍정 텍스트 확률 : 87.09%"
"[ .크래프톤은 지스타에서 로고스티커를 안 줬을뿐더러.나는 이미 부산인디커넥트 페스티벌에서 받은 크래프톤의 스티커를 붙여뒀지 🥰...내년부턴 패스권 없이 줄서서 입장할 거 생각하니 벌써 막막하다 🤦🏻♀️.지스타 일 동안 관계자마냥 패스권 매구 돌아다녀서 넘 즐겁고 값진 경험이었다..년 지스타도 안녕 내년에 또 봐 🥰 내후년에도 부산에서 봐야해... ], 긍정 텍스트 확률 : 78.02%"
"[ 한주간의 글로벌 뉴스리뷰 은외국인 플레이어가 로그인하는 것을금지합니다.년 월 일 시 분 초에올라온기사내용입니다.이번 주], 긍정 텍스트 확률 : 94.50%"
"[한국에서 가장 큰 게임 쇼인이월일부터일까지 부산 컨벤션 및 전시 센터 에서 개최되었습니다.올해 의및 기타 최종 게임 출품작은 기본적으로 한자리 수로 유지됩니다.그러나 새로운 핸드 메이드 모바일 게임은 특별히 큰 것은 아닙니다.그 중에서도 닭고기모바일 게임 등이 주목을 끌었습니다.최종 게임 측면.는 외국인 선수가 로그인하는 것을 금지합니다. 월일 오후 시 베이징 시간에 시작된 잃어버린 방주는시간 동안 긴급하게 유지되었으며], 긍정 텍스트 확률 : 99.99%"
"[그림자 타워 및 비 한글 지역 로그인관련 콘텐츠의 유지에 대한 공식적인 발표........ .......? 본문 이미지. 국내 무술 치킨 신작공식 판매 중레이 우 게임 퍼블리셔 국내 무술 무기 차가운 치킨 게임 와일드 생존 에 의해 생산 공식적으로 스팀 플랫폼에서 판매 지금], 긍정 텍스트 확률 : 77.27%"
"[원래 가격 제한된다.관심있는 플레이어는 다음 플레이어에게주의를 기울일 수 있습니다.. 소드 스피릿 주년 축하 버전이 파업 중입니다.시간이 흐르면 추운 여름이 될 것이고], 긍정 텍스트 확률 : 98.93%"
"[인기있는 온라인 게임 소드 스피릿은세 생일을 앞두고 있습니다.모든 주요 이벤트가주년 에디션의 축하 성령의 검이달 말 공식적으로 선수들과 만날 예정이다], 긍정 텍스트 확률 : 68.39%"
"[강렬한 준비하고], 긍정 텍스트 확률 : 58.95%"
"[ 주년 무거운 업데이트가 필수 불가결 축하하기 위해 게임의 새로운 버전이 있어야합니다.오늘], 긍정 텍스트 확률 : 86.84%"
"[우리는 당신에게 원래 장면의 새로운 사본을 가져오고], 긍정 텍스트 확률 : 99.32%"
"[몰래 들여다 본 첫 번째 장면입니다....... .......? 본문 이미지.의 새 버전이 새로운 영웅 와 합류합니다.블리자드는 팬과의 소통이 매우 좋은 커뮤니티 커뮤니티를 운영하고 있으며], 긍정 텍스트 확률 : 91.63%"
"[블리자드 게임 이후에 많은 아이디어와 제안을 통해 많은 양의 컨텐츠를 확장 할 수있는 기반을 마련했습니다.월드 오브 워크래프트많은 선수가 어린 시절의 행복한 시간을 보냈다 함께 많은 년간], 긍정 텍스트 확률 : 99.92%"
"[디아블로및 기타 뜨거운 주제는 십 년간보다는 게임을 더 남아있는 인기 상태를 확인 여전히 안정적인 선수의 큰 숫자가 상당한있다 소득 수입은 매우 어렵습니다.또한], 긍정 텍스트 확률 : 66.33%"
"[블리자드는 또한 새로운시계의 선구자의년 출시에 큰 중요성을 첨부], 긍정 텍스트 확률 : 96.88%"
"[기존 미성년자 선수의 게임 데이터는세 이후에도 게임을 계속하기 위해 관련 플레이어를 지원하기 위해 유지됩니다.. 새로운 업데이트는무제한의 큰 버그를 놀라게했습니다.하드 코어 현실적인 생존 게임 쓰레기는 약간의 시간 전에 경험을 사냥 생존을 강화하고 원래의 생존 기술과 관련된 많은 무기와 아이템의 생산을 증가시키기 위해 게임을 업데이트하기 또한 주요 업데이트 와일드 헌터를했지만], 긍정 텍스트 확률 : 72.66%"
"[게임은 추가도에 대한 문자 丁丁의 길이 설정 옵션.. 결혼 생활을 경험하고 자녀를 갖습니다 의 새로운 작품비디오가 열려 있습니다.최근 의 게임 공동 브랜드 인 이 개발 한 새로운 모바일 게임의 미리보기 비디오가 공개되었습니다. 는 이 현재 개발중인가지 새로운 개발 중 가장 빠르게 성장하고 있으며 유 전적으로 지향되는모바일 게임입니다.게임에서 플레이어와 다른 캐릭터는 결혼하여 자녀를 낳고 상속 및 상속 능력을 높입니다.모바일 게임. 블리자드 디아블로 게임즈는이 에 대한 팬을 더 확보 할 것입니다. 분기 실적 보고서에서 의 새로운인 .은 최근에 이 많은 플레이어 불만을 야기했다는 의견을 발표했습니다..은 많은 사람들이 디아블로가 컴퓨터 또는 게임 콘솔 플랫폼에서 더 많은 게임을 시작하기를 바라고 있으며 디아블로에 관심이 많은 팬을 보유한 것은 대단히 기쁩니다.그러나 디아블로를 모바일 플랫폼으로 이동 시키면이 고전적인 의 플레이어 기반이 확장 될 것으로 그는 생각합니다........ .......? 본문 이미지. 그물 돌 치킨모바일 게임새로운 알림을 먹는다.최근 한국 게임 업체는 스톤이 한국어 게임 쇼부산에서 개최한다고 발표했다 네트워크], 긍정 텍스트 확률 : 100.00%"
"[한국월일의 부활에 대한 고전적인의 첫 번째 전시 다음으로], 긍정 텍스트 확률 : 74.44%"
"[ 큰 탈출구 게임을 특징으로하는모바일 게임이 될 것입니다.최근에], 긍정 텍스트 확률 : 93.15%"
"[은 버저 커 ], 긍정 텍스트 확률 : 53.43%"
"[궁수및 마법사 와 같은 전통적인 한국 온라인 게임의 많은 일반적인 직종을 포함하여 게임의 전문 캐릭터 및 괴물 중 일부를 보여주는 최신 예고편을 발표했습니다.. ....?업계에서는엔씨 소프트가개의 새로운 목록을 발표하고분기 재무 보고서를 발표했으며 은네트워크 디스크 링크의 대규모 심사에 대해 논평했으며가 발표되고모바일 게임이위를 차지했다. 닭 모델이 개발되고], 긍정 텍스트 확률 : 92.97%"
"[ 의 증가의 텐센트분기 순이익 워킹 데드 개발자 파산을 선언], 긍정 텍스트 확률 : 55.53%"
"[스팀 선반에서 게임의 일부], 긍정 텍스트 확률 : 60.08%"
"[태국 등에 서비스한다. 월 일 오픈한 테라버전 아시아 서비스에 이어 엑스박스로도 즐길 수 있게 된다.테라’ 콘솔 버전은 게임 콘솔용 콘트롤러의 조작감을 살렸다. 테라’는 게임 플레이어가 직접 대상을 조준해 공격하는 프리타겟팅게임이다. 이번 콘솔 버전은 프리타겟팅의 조작 시스템과 인터페이스를 콘솔 기기에 최적화했다. 년 출시된 버전 원작의 방대한 판타지 세계관과 콘텐츠를 그대로 담아 몰입도를 높였다. 테라’는 국내중 최초로 콘솔로 이식되어 북미], 긍정 텍스트 확률 : 73.34%"
"[유럽 및 아시아 시장에 출시되었다. 북미와 유럽 지역에서는 만 다운로드를 돌파했다.일본 지역에서는 주간 플레이스테이션 스토어의순위 위를한국을 포함 아시아에서는 달간위를 기록했다. 테라’에 대한 보다 자세한 정보는 테라 공식 사이트 ........ 를 통해 확인할 수 있다. ], 긍정 텍스트 확률 : 57.62%"
"[ .모두 하나되는 즐거움이 좋았던 .따로함께... ], 긍정 텍스트 확률 : 97.77%"
"[ .혼자서는 힘들지만 .함께 하기에 가능한것.크래프톤이 만들어가는 게임들이 그렇다네요...서로의 경험과 기술을 나누며 .함께 도전하고 실패하며 성장하고 있대여. ], 긍정 텍스트 확률 : 83.62%"
"[ .나이제한 없이 누구나 줄만 서면 .참여 가능해서 더 좋았던 . .?볼넣기게임볼넣기게임 .둘째랑 세째랑 참여했습니다.... ], 긍정 텍스트 확률 : 83.85%"
"[ .ㅎㅎ .모두 명씩 같이 진행하는데요], 긍정 텍스트 확률 : 55.62%"
"[ .따로 펀 함께 펀.따로 넣고 함께 도전 고고. .? ... ], 긍정 텍스트 확률 : 58.78%"
"[ .애들팀 전원 명은 간식꾸러미 받았다는요..ㅎㅎ.....함께 땀 흘리며 신나게 공 던지며 .크래프톤 단체게임존 따로넣고 .함께도전했던 시간들 좋았습니다....기분 좋은 하루 보내세요♡ ], 긍정 텍스트 확률 : 84.47%"
"[오늘은 사실 바빠서 못갈거라 생각했는데 짬내서 시간정도 오후에 지스타를 다녀왔습니다.목요일이라 그런지 사람이 그리많진 않았어요. ], 긍정 텍스트 확률 : 76.76%"
"[작년 포트나이트 부스가 더나았던것같기도하고 흠.. 아마 게임이 없어서 그런거같아요. ], 긍정 텍스트 확률 : 85.79%"
"[얼리버드 이벤트는 선착순명으로 부스전경을 찍고에 올리면 왼쪽데스크에서 피규어를 주고 있고 스탬프를 모으면 아래 사진처럼 가방포함 여러 상품을 받을수있습니다. ], 긍정 텍스트 확률 : 56.05%"
"[지나가다가 한컷. 시간나면 해봐야겠어요. ], 긍정 텍스트 확률 : 58.54%"
"[ 위치가 바뀌었기 때문에 지하철역에서 벡스코역 올라오실때부터 요원분이 푯말을 들고 계시는걸 볼 수 있었어요. 그 분들한테 물어보셔도 될 것같습니다. ], 긍정 텍스트 확률 : 89.99%"
"[구글플레이 부스에서 모바일로 코드찍고 가지 체험하면 스탬프를 받고 주는 만원 기프트카드입니다.머그컵과 비닐백은 어로스에서 받은건데], 긍정 텍스트 확률 : 64.64%"
"[ .안녕하세요 나풀나풀 리플입니다..오늘부터 총일에 걸쳐서 지스타가 개최되는데요.오늘은 지스타가 개최되는 일차되는 날이자 수능날 이었답니다 .?수능수능], 긍정 텍스트 확률 : 93.61%"
"[ 확인못한 제 잘못입니다. .?일정일정.?스케줄스케줄저는 시에 도착해서 아...시간동안 줄서있으면 멍청한 사람취급받겠지..? ], 긍정 텍스트 확률 : 97.97%"
"[ 제일먼저 눈에 띈야외부스에 들어갔습니다. .?위크레프론위크레프론여기서 위어 크레프톤은 배틀그라운드를만든 펍지의 행사 이름이랍니다 ], 긍정 텍스트 확률 : 59.62%"
"[ 재차재차 그 바로찾아간곳은 야외부스 의 오른편에있는부랄브롤스타의 캡슐돌리는 신박한곳이 있더군요 .?불알불알 ], 긍정 텍스트 확률 : 93.87%"
"[ 어느센가 시계는 시 분을 가르키더라구요.하지만 입장대기줄이 길다고판단하에 .?대기줄대기줄 ], 긍정 텍스트 확률 : 73.46%"
"[제일 먼저 생각난게 ], 긍정 텍스트 확률 : 93.78%"
"[ 바로 모바일대기줄에 왔습니다.여기서 제일놀랐던게입장할때 구지 경찰 보안 팬스가 없어도 차례를지키며 들어가시더라구요 ], 긍정 텍스트 확률 : 66.49%"
"[ 역시 선비정ㅅ], 긍정 텍스트 확률 : 89.05%"
"[.?감동감동], 긍정 텍스트 확률 : 96.70%"
"[ 창구라는 창업밴처 기업부의 작은 부스가 어쩜그리 눈에 아름다운지 ], 긍정 텍스트 확률 : 91.89%"
"[ 도장받는 적립멤버십입니다. .?도장도장 ], 긍정 텍스트 확률 : 50.77%"
"[ 그 후 그 옆 배틀그라운드 부스로 향했는데. .?배그배그 보나마나 여긴 사람줄이 많을꺼같아서 패스 .?포기포기 ], 긍정 텍스트 확률 : 53.52%"
"[ 여기서 게임을 총가지후 인증받으시면 기념품으로 에코백과 먹을꺼리주니 .?기념품기념품 서이님들 슬기롭게 대처하시길 ㅠㅠ ], 긍정 텍스트 확률 : 50.37%"
"[ 그리고 재밌고신나게 노닐다보니 오후시가 넘어가더군요. ㅎㅎ넷마블은 일 선착순 명에게 쿠폰과 퀘스트북을준다는데 반쯤 포기하고 일차 계획으로 물렀죠 .?넷마블넷마블 .? ], 긍정 텍스트 확률 : 98.82%"
"[ 낮익은 목소리가 들려오더군요. ], 긍정 텍스트 확률 : 51.42%"
"[역시 최군 이셨습니다.이 분의 광팬인 리플이는 진짜 울면서 여기서 마무리 짓자는 감정으로 쭈욱 보았답니다 .?최군최군 ], 긍정 텍스트 확률 : 72.13%"
"[ 봐주셔서 정말감사드립니다 ], 긍정 텍스트 확률 : 85.37%"
"[얼마 전 월 일부터 월 일까지 일 간 지스타 가 열렸었습니다. 올해의 슬로건은 새로운 세상을 경험하라였습니다.이번 지스타의 메인 스폰서는 슈퍼셀로], 긍정 텍스트 확률 : 99.34%"
"[작년에 이어 해외 게임사가 메인으로 참여하였습니다. 그 외에도 ], 긍정 텍스트 확률 : 51.39%"
"[생애 첫 지스타 방문을 기자로서 경험했다니 참 묘하네요. ㅎㅎ 그간 핸드폰으로나마 담은 사진과 후기를 올려 봅니다. 화질은 물론이고 분량도 많이 아쉽습니다. 제 클론이 있었다면 참 좋았을 텐데요. 다음 해에도 기회가 있다면 카메라도], 긍정 텍스트 확률 : 72.29%"
"[카메라맨도 꼭 모셔와야겠습니다.], 긍정 텍스트 확률 : 68.94%"
"[ 대형 게임사들의 불참으로 컨텐츠가 부실하지 않을지 걱정이 많이 되었습니다만], 긍정 텍스트 확률 : 63.01%"
"[펄어비스 등이 기대되는 신작 발표회로 그 빈 자리를 잘 채워주었다고 봅니다. 브롤 스타즈], 긍정 텍스트 확률 : 90.31%"
"[세븐 나이츠], 긍정 텍스트 확률 : 84.44%"
"[인플루언서들이 대거 등장하여 이벤트도 알차게 진행되었습니다. 팬분들이라면 평소 즐겨 보던 사람들을 실제로 만나볼 수 있다는 점이 정말 매력적이었을 듯합니다. 미션 등으로 얻은팔찌 또는 이벤트 사이사이 비는 시간을 활용하여 선물을 전달하거나 사인 및 사진을 얻어가신 분들도 눈에 띄었습니다.수준 높은 코스프레도 여럿 이루어졌습니다. 게임사와 제휴한 코스어들도 많았고], 긍정 텍스트 확률 : 83.78%"
"[자발적으로 복장을 챙겨 입고 행사장에 나타난 코스어들도 많아 재미있는 경험을 제공하였습니다.적지 않은 우려에도 불구하고 흥행은 성공했다고 보아야 할 것 같습니다. 주변의 의견을 종합해 보건대], 긍정 텍스트 확률 : 64.49%"
"[작년보다 관람객 수가 더 증가했다는 생각이 듭니다.아쉬운 점이 있다면], 긍정 텍스트 확률 : 87.57%"
"[인플루언서에 집중한 경우는 정작 본 전시회의 본질인 게임을 체험한다는 면에서는 부실한 점이 몇몇 보였습니다. 내년 지스타에서는 게이머들이 직접 신작들을 경험해볼 수 있는 기회 역시 더욱 풍성해졌으면 하는 바람입니다. .?지스타지스타], 긍정 텍스트 확률 : 79.53%"
"[인생은 계획대로 되지 않는다.아래의 그림은 위 문장의 의미를 절실히 나타내는 그림이다. ], 긍정 텍스트 확률 : 92.19%"
"[ 지원결과를 보고 마음이 너무 아팠기에 중간에 불자는 지웠다.제지구에 있는 나는 합격했겠지...?이번년도 들어서... 아니 대학원을 입학한 뒤로 많은 실패를 겪고 있는 것 같다.인턴 지원 불합격 ], 긍정 텍스트 확률 : 96.67%"
"[ 성공으로 가는 길은 여러 번의 실패를 통해 이루어진다고 생각한다.실패는 성공의 일부라고 생각한다. 아니 실패는 성공에 포함된 성공의 일부이다. 인턴 지원 및 전공 테스트를 통해기업에서 지원자들에게 어떠한 전공지식을 요구하는지 배울 수 있었다.논문을 통해 내 논문이 어디가 부족한지], 긍정 텍스트 확률 : 96.34%"
"[즉 조원 가치가 있는 비상장 스타트업 기업을 유니콘기업 이라고 부릅니다. 스타트업기업이 성장하기전에 기업가치가 조를 이루는 것은], 긍정 텍스트 확률 : 80.81%"
"[마치 전설상의 존재 같다는 것이죠.전세계적으로는 개의 기업이 있다고 합니다. 미국이 그 중 개 입니다.물론 이 하나 더 붙은.?데카콘데카콘 ], 긍정 텍스트 확률 : 83.75%"
"[즉 조원 가치가 있는 비상장 스타트업 기업이 있습니다.국내에는 아직 데카콘 기업은 없습니다. 한국은 인건비가 비싸기 때문에 플랫폼으로 승부를 보아야 크게 성공할 수 있을 것 같네요.국내 유니콘기업은 다음과 같습니다.], 긍정 텍스트 확률 : 88.67%"
"[ . 쿠팡제일 규모가 큽니다. 거의 조 기업가치에 임박했습니다. 소프트뱅크 등의 투자 대표김범석아무래도 빠른 배송으로], 긍정 텍스트 확률 : 64.58%"
"[인기가 많은 플랫폼입니다.], 긍정 텍스트 확률 : 69.00%"
"[ . 크래프톤이전 블루홀배틀그라운드....게임의 인기가 식으면 가치가 조금 하락할 수도 있겠다는 생각이 듭니다.], 긍정 텍스트 확률 : 95.33%"
"[ . 위메프....대표박은상쿠팡과 양대산맥이라고 보면 될 것 같습니다.], 긍정 텍스트 확률 : 88.40%"
"[ . 지피클럽....대표 김정웅역시 화장품 회사입니다. 이병헌 등이 모델인데 국내에선 생소하네요.], 긍정 텍스트 확률 : 96.03%"
"[ 그리고 최근에 새로 등록된. 무신사 대표조만호 살이시네요 ㅎㅎ 대단하네요 .... ], 긍정 텍스트 확률 : 98.61%"
"[ 등의 기업이 있습니다. 대부분 스타트업에서 시작한 만큼 대표들의 연령대가 모두 젊습니다. 소프트웨어], 긍정 텍스트 확률 : 75.32%"
"[플랫폼특히 모바일], 긍정 텍스트 확률 : 89.72%"
"[스마트폰이 정말 중요한 시대인 것 같습니다.], 긍정 텍스트 확률 : 89.29%"
"[안녕하세요 ㅎㅎㅎ오늘은 어제 방문했던 지스타 방문 후기를 들려드리려고 해요게임을 좋아하는 남자친구와게임에 소질없는 제가함께 가보았는데], 긍정 텍스트 확률 : 97.23%"
"[ 둘다 박람회 참가는 처음이었어요어땠는지 지금부터 보여드릴게요ㅎㅎㅎ ], 긍정 텍스트 확률 : 92.90%"
"[ 원이었습니다 ], 긍정 텍스트 확률 : 50.88%"
"[ 박람회는 시부터 시작이었지만신속한 입장을 위해서시 분 쯤 벡스코에 도착했어요평일이어서 그런지생각했던 것보다는 사람이 적었어요 ], 긍정 텍스트 확률 : 94.79%"
"[ 입장 대기하러 가는 길에 이런 세트가 있는 걸 보았어요아주 큰 뽑기가 있어서신기했어요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 70.57%"
"[ 저희가 제일 처음 방문했던 곳은방송통신심의위원회 부스였어요 서약서를 작성하면이벤트에 참여할 수 있었어요공을 잡아서또는 이 나오면다트를 던질 수 있는 기회가 주어지고], 긍정 텍스트 확률 : 92.74%"
"[ 이 나오면다트를 던질 수 있는 기회가 없었어요 ], 긍정 텍스트 확률 : 81.69%"
"[ 남자친구는 이 나와서다트를 던지지 못했고], 긍정 텍스트 확률 : 62.58%"
"[ 그리고나서에서로드모바일 체험하고경품이벤트에 참여했어요 체험부스와 별도로무대가 마련되어 있었고], 긍정 텍스트 확률 : 72.74%"
"[ 다음으로], 긍정 텍스트 확률 : 73.27%"
"[ 제가 하고 나서남자친구도 참여했어요저보다 운전에 능숙해서나름 잘했는데], 긍정 텍스트 확률 : 59.07%"
"[ 경품은 받지 못했어요 볼 때는 쉬워보였는데조작해보니 어렵더라구요ㅠㅠ ], 긍정 텍스트 확률 : 63.93%"
"[ 그래도 재밌는 경험이었어요ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 97.75%"
"[ 펄어비스 부스에서는검은사막 게임 체험하고 사진이벤트에 참여해서경품을 받았어요 ㅎㅎ게임을 잘하지 않아도참여할 수 있는 이벤트가 많아서좋았어요 ], 긍정 텍스트 확률 : 88.75%"
"[ 이것저것 하다보니배가 고파서푸드트럭이 모여있는 곳으로나갔어요 나갈 때는 재입장이 가능한 스탬프를 받으셔야 해요사진에서는 지워졌지만 재입장 일차라는 문구가 적혀있었어요출입구 쪽에 스탬프를 찍어주는스태프들이 대기하고 있으니꼭 찍고 나가세요 ], 긍정 텍스트 확률 : 93.76%"
"[ 원을사서 먹었어요음식이 따뜻하기도 했고배가 고파서 그런지맛있게 잘 먹었어요 ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 99.18%"
"[레고 쌓기 등여러 게임들을 했어요벡스코 내부 뿐만 아니라외부에도 많은 부스들이 있으니까꼭 방문해보세요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 89.93%"
"[ 바깥에서 여러 게임을 즐기고다시 안으로 들어가서다른 부스에서 체험을 하고], 긍정 텍스트 확률 : 52.26%"
