 크 샌드박스 2인자 풍형...
  크 도사장 옆에 우리 형
  어제 홍방장님 말씀들어보니 원래 쉐리형님이랑 풍형은 다이아 가시려고 하셧는데 홍방장님께서 두분을 샌드박스로 섭외하셧다고 ㄷㄷ
  홍방장님 입니다
    11251125아 오타났네요 감사합니다.
  킹방장 그는 대체......
  다른 이야기 지만 유병재 똑똑한듯 하네요그리고 역시 우리 풍형 짱
  와 우리형이랑 콜라보 할 기회가 있음 좋겠네요 ㅋㅋ
  와와
  오 샌드박스라니
 ▶ 추천주 보기 ;  ..1300518 ..1300518
  ▶ 수익을 위한 필독공지 ;  ..1230095 ..1230095
  ▶ 주식광장 추천주 수익결산 ;  ..1283122 ..1283122
  감사합니다
  모바일겜 신작 나오는거 아닌가요.ㅎ
 밑에 만화가 무슨 뜻이냐면 엄마가 영어책을 주며 영어외워라고 하자 귓속말로 도티책을 샀으니 영어열심히해라는 뜻....마마 감사해요
  어디서 사셨어요?
  24에서 샀습니다.
  저도 거기서 사려 했는데... 못사서... 서점가서 샀더니 명함이 없어여...ㅠㅠㅠ
  ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
  님이 올린 확실하고 정확한 글 진짜 큰 도움이 됬어요
 더 자세한 정보는?;     ?;3A2F2F.2F;U3IDC89OH2Z4AABA;EN8MOY9Q9J0XCXJ8MTU3ND1NDIOUANT0NY3ODI5  .
  와아 꼭 지원해야겠다
  2019 GEEKBLE BRING ME 😂😂😂
  와악 세상에 사랑하는 회사 두개가 콜라보한다니♡
  썸넬 왜 샌드박스만 모자이크 안돼있는건데ㅋㅋㅋ
  자 그럼 실험을 시작해볼까?
  왐마 이건 들을 수 밖에 없겠는데? 멋져부러🐱
  아 미친ㅜㅜ 샌박에 긱블이라니ㅜㅜ 짱좋다ㅜㅜ
  썸네일 누가봐도 차누자너ㅋㅋㅋ
  차누형... 팬티가... 핑크색....?♡
  헐 긱블을 샌박에서 보다니ㅠㅠㅜㅜㅜㅜㅜㅜ
  ㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋ
  이정도면 조회수 200만  넘을거 같으신분  좋아요 1번만요😢😢😢
       ?9T0DJC0;23023 뒤에 강아지가면 카메라맨 정태님 아닌가요?ㅋㅋㅋㅋㅋ 어째 가면을 써도 알거같지..
  갹 차누님 ㅜㅜㅜㅜㅜㅜ 대박 긱블을 여기서 보다니. . . .. . 악 ㅜㅜㅜ 긱블 여기서 봐서 너무 반가워요..  .. ㅜㅜ❤❤
  저도 지원하고 싶은데 어른때 하고 싶은데 아직 멀었네요ㅠㅠ
  브금 제목 알려주세요
  왜 광고가 정상적이지 불안하게...병맛이 필요해
  긱블분들 모두 사랑합니다
  하구싶네요
  Cㅋㅋㅋㅋ
  긱블 사랑해요♥♥
  알고보니 이거 심리적과학실험이었던거임ㅇㅅㅇ
  샌드박스 네트워크 저 신규크리에이터지원했는데 언제 결과가 나오나요?
  오옹
  저 오늘 이것만보고 진짜잘겁니다
  와 내가 좋아하는 조합이다
  형형 이고 브금 이름쫌알려줘요
  우왕
  하..하고시프다
  십몇년 뒤 가능하나요..........?
  과학에 관심많아서 지원하고싶은데 중학생이여서 지원못함
  헉...
  와우 킼블
  샌박에 긱블이라니... ㅎㄷㄷ하네
  오 오오오오55555555555
  저  오늘  학교  앞에서   샌드박스에서   인터뷰   했어요
  하고는 싶은데 학생이라서....
  갓블
  어
  우리 과학 쌤 하신거다
  뭔데 멋있는건데..
  오
  광고에 긱블 로고와 차누님을 보고 저절로 손이 눌러졌다...
  왕 대박 애쉬총
  하고싶다
  긱블 사무소 놀러가도 되나요??
  고등학생 이상 지원가능이넵...
  미대생도 뽑나요
  자 이제 먹방크리에이터는 딱 1자리 남았지? 용×이형이랑 합방각이네
     형이 거기서 왜나와?
  지원 완료이런거도 놓칠순 없죠
  고등학교 3년간 학생부 종합을 준비하며 과학 커뮤니케이터를 꿈꾸는 현 고3 학생입니다. 긱블과 공돌이 용달 및 과학 쿠키에서 과학 커뮤니케이터의 미래를 봤습니다. 대학생 때 반드시 도전하겠습니다. 감사합니다.
  누구세요
  와 긱블흑기사
